formula,Property Band Gap,Property Band Gap units,Property Band gap,Property Band gap units,Temperature (Property Band gap),Temperature (Property Band gap) units,Property Color,Temperature (Property Color),Temperature (Property Color) units
Al$_{2}$(CuSe$_{2}$)$_{3}$,0,eV,,,,,,,
Ca(CuO$_{2}$)$_{2}$,0.3517999999999999,eV,,,,,,,
Sb$_{3}$Se$_{2}$ClO$_{8}$,0.8099000000000001,eV,,,,,,,
Ba$_{2}$W$_{3}$O$_{8}$,0.0,eV,,,,,,,
CaLaMn$_{2}$O$_{6}$,0.051300000000000345,eV,,,,,,,
CaCo$_{2}$(SiO$_{3}$)$_{4}$,1.3511000000000002,eV,,,,,,,
Al$_{14}$(CuSe$_{8}$)$_{3}$,0.44429999999999925,eV,,,,,,,
Ca$_{2}$CuIrO$_{6}$,0,eV,,,,,,,
BaAg$_{4}$O$_{7}$,0,eV,,,,,,,
BaTlCuO$_{4}$,0,eV,,,,,,,
Al$_{14}$(CuS$_{8}$)$_{3}$,1.3481000000000005,eV,,,,,,,
Al(CuSe$_{2}$)$_{3}$,0,eV,,,,,,,
V$_{4}$(CuO$_{4}$)$_{3}$,0.07279999999999998,eV,,,,,,,
Al$_{5}$(CuO$_{4}$)$_{3}$,0.013699999999999157,eV,,,,,,,
CaBiAsO$_{6}$,0.5539999999999998,eV,,,,,,,
Ba$_{2}$CaTl$_{2}$(CuO$_{3}$)$_{4}$,0,eV,,,,,,,
CaCu$_{2}$(As$_{2}$O$_{7}$)$_{2}$,0.36819999999999997,eV,,,,,,,
Rb$_{6}$Al$_{2}$(Sb$_{2}$O$_{7}$)$_{3}$,0.05109999999999992,eV,,,,,,,
CaCoSi$_{2}$O$_{7}$,0,eV,,,,,,,
Al(CuO$_{2}$)$_{3}$,0.006800000000000139,eV,,,,,,,
Ca$_{3}$Cu$_{6}$(PO$_{4}$)$_{8}$,0.046599999999999975,eV,,,,,,,
Ba$_{4}$CaTl$_{4}$(Cu$_{3}$O$_{10}$)$_{2}$,0,eV,,,,,,,
Ba$_{3}$Al$_{4}$(Sb$_{2}$O$_{7}$)$_{3}$,0.08240000000000003,eV,,,,,,,
CoP$_{2}$O$_{7}$,0.15099999999999997,eV,,,,,,,
Al$_{5}$(NiO$_{4}$)$_{3}$,0.004100000000000215,eV,,,,,,,
TiO$_{2}$,1.8221000000000003,eV,,,,,,,
Ca$_{2}$La$_{5}$Mn$_{7}$NiO$_{24}$,0.04610000000000003,eV,,,,,,,
Ba$_{2}$Sn$_{3}$O$_{7}$,0.30420000000000025,eV,,,,,,,
Mg$_{3}$Bi$_{2}$(PO$_{6}$)$_{2}$,0,eV,,,,,,,
Mg$_{3}$Bi$_{2}$(AsO$_{6}$)$_{2}$,0,eV,,,,,,,
MgBiPO$_{6}$,0,eV,,,,,,,
Ca$_{3}$Mn$_{2}$(GaO$_{5}$)$_{2}$,0.26139999999999985,eV,,,,,,,
MgBiAsO$_{6}$,0.029900000000000038,eV,,,,,,,
Ba$_{2}$AlNi$_{3}$O$_{8}$,0.15169999999999995,eV,,,,,,,
CaTi$_{2}$Fe$_{2}$(PO$_{4}$)$_{6}$,0,eV,,,,,,,
V$_{2}$O$_{5}$,2.338,eV,,,,,,,
CaV$_{2}$O$_{6}$,1.6773,eV,,,,,,,
LaTiCrO$_{6}$,0.21450000000000014,eV,,,,,,,
CaCr$_{2}$F$_{10}$,1.7489000000000001,eV,,,,,,,
CaNd$_{2}$Ti$_{2}$Mn$_{2}$O$_{12}$,1.3364000000000003,eV,,,,,,,
CaFe$_{2}$(SiO$_{3}$)$_{4}$,2.7224,eV,,,,,,,
VP$_{2}$O$_{7}$,1.1843,eV,,,,,,,
CaCrP$_{2}$O$_{7}$,3.021,eV,,,,,,,
CaMn$_{2}$(P$_{2}$O$_{7}$)$_{2}$,0.6836000000000002,eV,,,,,,,
Mg$_{3}$Fe$_{2}$(SiO$_{4}$)$_{3}$,2.8352999999999997,eV,,,,,,,
Mg$_{3}$Cr$_{2}$(SiO$_{4}$)$_{3}$,3.5998,eV,,,,,,,
MgV$_{2}$O$_{5}$,2.1854000000000005,eV,,,,,,,
Ca$_{3}$Mn$_{2}$(SiO$_{4}$)$_{3}$,3.0738000000000003,eV,,,,,,,
CaCo$_{2}$O$_{5}$,0.055600000000000094,eV,,,,,,,
MgMn$_{2}$O$_{5}$,0.18659999999999988,eV,,,,,,,
CaCrO$_{3}$,0.15579999999999972,eV,,,,,,,
V$_{2}$ZnO$_{5}$,1.9831999999999999,eV,,,,,,,
CaHoMn$_{2}$O$_{6}$,0.09870000000000001,eV,,,,,,,
Cr$_{2}$O$_{5}$,1.7574999999999998,eV,,,,,,,
V(SiO$_{3}$)$_{2}$,1.3968000000000003,eV,,,,,,,
CaCr$_{2}$O$_{5}$,0.4784999999999999,eV,,,,,,,
Al$_{5}$(FeO$_{4}$)$_{3}$,1.1521,eV,,,,,,,
CaCr$_{2}$O$_{4}$,2.2316999999999996,eV,,,,,,,
Mg$_{3}$V$_{2}$O$_{8}$,3.3680000000000003,eV,,,,,,,
MnP$_{2}$O$_{7}$,0.022399999999999975,eV,,,,,,,
Fe(SiO$_{3}$)$_{2}$,0,eV,,,,,,,
CaMnF$_{5}$,1.3214000000000001,eV,,,,,,,
Ni$_{3}$(P$_{2}$O$_{7}$)$_{2}$,0.007200000000000095,eV,,,,,,,
YFeO$_{3}$,1.7675999999999998,eV,,,,,,,
FeO$_{2}$,0.013700000000000045,eV,,,,,,,
Ca(Fe$_{2}$O$_{3}$)$_{2}$,1.0624000000000002,eV,,,,,,,
Ca(CoO$_{2}$)$_{2}$,2.1477999999999997,eV,,,,,,,
Zn$_{3}$Bi$_{2}$(PO$_{6}$)$_{2}$,0,eV,,,,,,,
Ca(CoO$_{2}$)$_{2}$,0.9175999999999997,eV,,,,,,,
FeO$_{2}$,0.013400000000000079,eV,,,,,,,
CaMnO$_{2}$,1.0973000000000002,eV,,,,,,,
Fe$_{2}$O$_{3}$,0.6582000000000003,eV,,,,,,,
Y$_{2}$(CuS$_{2}$)$_{3}$,2.3671999999999995,eV,,,,,,,
MgCr$_{2}$F$_{12}$,1.2395,eV,,,,,,,
FeP$_{2}$O$_{7}$,0,eV,,,,,,,
CaCr$_{2}$O$_{4}$,2.9419000000000004,eV,,,,,,,
Co(SiO$_{3}$)$_{2}$,0.4482999999999997,eV,,,,,,,
Ta$_{4}$Mn$_{2}$Zn$_{3}$O$_{16}$,1.301,eV,,,,,,,
CaMnSi$_{2}$O$_{7}$,0.1379999999999999,eV,,,,,,,
MnO$_{2}$,1.0910000000000002,eV,,,,,,,
V$_{6}$Zn$_{3}$(FeO$_{6}$)$_{4}$,2.1772,eV,,,,,,,
MgV$_{2}$O$_{4}$,1.2110000000000003,eV,,,,,,,
V$_{2}$ZnO$_{4}$,0,eV,,,,,,,
Ba$_{2}$Bi$_{3}$O$_{7}$,0,eV,,,,,,,
MgFe$_{2}$O$_{5}$,0,eV,,,,,,,
Mg$_{3}$V$_{6}$(FeO$_{6}$)$_{4}$,2.2018999999999997,eV,,,,,,,
Mn$_{4}$(SiO$_{3}$)$_{5}$,0.38829999999999965,eV,,,,,,,
Fe$_{5}$O$_{7}$,1.1318000000000001,eV,,,,,,,
Ba$_{2}$AlMo$_{3}$O$_{8}$,0.012300000000000644,eV,,,,,,,
CrO$_{2}$,0.12249999999999994,eV,,,,,,,
Ca(FeO$_{2}$)$_{2}$,1.7818999999999998,eV,,,,,,,
Ca$_{3}$Mn$_{2}$(GaO$_{5}$)$_{2}$,0.13439999999999985,eV,,,,,,,
MgCo$_{2}$O$_{5}$,0.0045999999999999375,eV,,,,,,,
NiO$_{2}$,0.35619999999999985,eV,,,,,,,
CaV$_{2}$O$_{4}$,1.5029,eV,,,,,,,
CaFe$_{2}$O$_{5}$,0,eV,,,,,,,
Mn$_{2}$ZnO$_{4}$,0.5568,eV,,,,,,,
Sr$_{9}$Zn$_{3}$(CuO$_{7}$)$_{2}$,0.37060000000000004,eV,,,,,,,
FeO$_{2}$,0,eV,,,,,,,
VO$_{2}$,0.01399999999999979,eV,,,,,,,
VO$_{2}$,0.6766000000000001,eV,,,,,,,
CaNiP$_{2}$O$_{7}$,3.9201,eV,,,,,,,
BaSn$_{4}$O$_{7}$,0.2551000000000001,eV,,,,,,,
Pr(FeO$_{3}$)$_{2}$,0,eV,,,,,,,
Mn$_{4}$(CuO$_{4}$)$_{3}$,0.03699999999999992,eV,,,,,,,
Al$_{5}$(BiSe$_{4}$)$_{3}$,1.7776999999999998,eV,,,,,,,
Al$_{5}$(BiS$_{4}$)$_{3}$,2.0318,eV,,,,,,,
CaMnP$_{2}$O$_{7}$,4.2174,eV,,,,,,,
MgV$_{2}$(CuO$_{4}$)$_{2}$,0.23649999999999993,eV,,,,,,,
Ca(NiO$_{2}$)$_{2}$,0,eV,,,,,,,
CoP$_{2}$O$_{7}$,0.15579999999999994,eV,,,,,,,
CaMn$_{2}$O$_{4}$,1.524,eV,,,,,,,
La$_{2}$WO$_{6}$,3.6278999999999995,eV,,,,,,,
MgMn$_{2}$O$_{4}$,0.031500000000000306,eV,,,,,,,
MgV$_{2}$O$_{4}$,1.4861000000000004,eV,,,,,,,
Mn$_{2}$Nb$_{2}$Zn$_{2}$O$_{9}$,1.7073999999999998,eV,,,,,,,
CaMn$_{4}$(CuO$_{4}$)$_{3}$,0.09689999999999976,eV,,,,,,,
Mn$_{2}$ZnO$_{4}$,0.0647000000000002,eV,,,,,,,
Mg(CoO$_{2}$)$_{2}$,1.9704999999999995,eV,,,,,,,
MnO$_{2}$,1.6648999999999998,eV,,,,,,,
Ta$_{2}$MnZn$_{2}$O$_{8}$,3.0591,eV,,,,,,,
VCuO$_{4}$,0.19350000000000003,eV,,,,,,,
Ca(FeO$_{2}$)$_{2}$,1.8173999999999997,eV,,,,,,,
V$_{2}$ZnO$_{4}$,1.4048999999999996,eV,,,,,,,
FeO$_{2}$,0.06279999999999997,eV,,,,,,,
VO$_{2}$,1.2057,eV,,,,,,,
CaTiO$_{2}$,0,eV,,,,,,,
V$_{2}$Zn$_{3}$(P$_{2}$O$_{9}$)$_{2}$,1.3341,eV,,,,,,,
Mn$_{2}$Nb$_{2}$O$_{9}$,0.8435000000000001,eV,,,,,,,
Y$_{2}$Cr$_{3}$O$_{9}$,0.23939999999999984,eV,,,,,,,
Ba$_{2}$Ti$_{3}$O$_{7}$,0,eV,,,,,,,
BaYCo$_{4}$O$_{7}$,0.23240000000000016,eV,,,,,,,
YCr$_{3}$O$_{9}$,0,eV,,,,,,,
MgNi$_{2}$O$_{5}$,0.20240000000000036,eV,,,,,,,
Ba$_{3}$Y$_{4}$(NiO$_{5}$)$_{3}$,0.016599999999999948,eV,,,,,,,
Ti$_{4}$ZnO$_{8}$,0,eV,,,,,,,
MgCoP$_{2}$O$_{7}$,3.0128,eV,,,,,,,
Y$_{2}$Mn$_{3}$O$_{9}$,0,eV,,,,,,,
Ba$_{3}$Y$_{5}$(NiO$_{5}$)$_{3}$,0.0054000000000002935,eV,,,,,,,
Y$_{2}$Cr$_{3}$O$_{12}$,1.8619000000000003,eV,,,,,,,
MgTiO$_{2}$,0.1014999999999997,eV,,,,,,,
Ca$_{2}$MnWO$_{6}$,2.5877,eV,,,,,,,
CoO$_{2}$,0.14439999999999997,eV,,,,,,,
CrPO$_{4}$,0.5295999999999998,eV,,,,,,,
CaCr$_{2}$(PO$_{4}$)$_{2}$,2.2258999999999998,eV,,,,,,,
CaTi$_{4}$O$_{8}$,0,eV,,,,,,,
MnSiO$_{4}$,0.042300000000000004,eV,,,,,,,
Zn(FeO$_{2}$)$_{2}$,1.6029,eV,,,,,,,
Ca(CoO$_{2}$)$_{4}$,0.31910000000000016,eV,,,,,,,
Mg(NiO$_{2}$)$_{2}$,0.6210999999999998,eV,,,,,,,
CoSiO$_{4}$,0.2953000000000001,eV,,,,,,,
Ca(NiO$_{2}$)$_{2}$,0.8057000000000003,eV,,,,,,,
Ca(FeO$_{2}$)$_{4}$,0,eV,,,,,,,
Y$_{4}$(Cu$_{2}$O$_{5}$)$_{3}$,0.2116,eV,,,,,,,
Al$_{10}$(Bi$_{2}$O$_{9}$)$_{3}$,0.0376000000000003,eV,,,,,,,
Fe(SiO$_{3}$)$_{2}$,0.008200000000000013,eV,,,,,,,
Ba$_{2}$Ca$_{3}$Tl$_{2}$(CoO$_{3}$)$_{4}$,0,eV,,,,,,,
Bi$_{3}$Se$_{2}$ClO$_{8}$,0.08650000000000002,eV,,,,,,,
TiZnO$_{2}$,0,eV,,,,,,,
FeO$_{2}$,0,eV,,,,,,,
Fe$_{9}$O$_{13}$,0.03559999999999963,eV,,,,,,,
Cr$_{3}$(P$_{2}$O$_{7}$)$_{2}$,0.05940000000000012,eV,,,,,,,
Ca(FeO$_{2}$)$_{2}$,0.9051999999999998,eV,,,,,,,
Co$_{3}$(P$_{2}$O$_{7}$)$_{2}$,0.22509999999999986,eV,,,,,,,
Fe$_{3}$(P$_{2}$O$_{7}$)$_{2}$,1.5024,eV,,,,,,,
Ca$_{6}$Mn$_{3}$Al$_{2}$O$_{15}$,0.10939999999999994,eV,,,,,,,
CaNi$_{3}$(P$_{2}$O$_{7}$)$_{2}$,4.1004,eV,,,,,,,
Mn$_{3}$Nb$_{2}$O$_{9}$,0.44419999999999993,eV,,,,,,,
MgV$_{4}$O$_{8}$,0.6150000000000002,eV,,,,,,,
ZnNi(PO$_{3}$)$_{4}$,4.5261,eV,,,,,,,
CaV$_{4}$O$_{8}$,0.6976,eV,,,,,,,
MgVP$_{2}$O$_{7}$,2.9653,eV,,,,,,,
VZnO$_{2}$,0.5188999999999995,eV,,,,,,,
Ba$_{2}$Fe$_{2}$CuF$_{14}$,0.29579999999999984,eV,,,,,,,
CaMn$_{2}$O$_{4}$,0.6736999999999997,eV,,,,,,,
Y$_{8}$Cu$_{3}$(GeS$_{7}$)$_{3}$,0,eV,,,,,,,
Ca$_{2}$Mn$_{2}$(SiO$_{4}$)$_{3}$,0.08030000000000026,eV,,,,,,,
BaCaCo$_{4}$O$_{7}$,0.0024000000000001798,eV,,,,,,,
CaMn$_{3}$O$_{6}$,0.026699999999999946,eV,,,,,,,
Ca$_{2}$Fe$_{2}$(SiO$_{4}$)$_{3}$,2.3009,eV,,,,,,,
Cr(Si$_{2}$O$_{5}$)$_{2}$,0.8789,eV,,,,,,,
CaV$_{4}$(CuO$_{7}$)$_{2}$,0.5805,eV,,,,,,,
Ca$_{5}$Nb$_{4}$(CoO$_{9}$)$_{2}$,1.2839,eV,,,,,,,
Ba$_{2}$CaV$_{2}$(P$_{2}$O$_{9}$)$_{2}$,1.9472,eV,,,,,,,
MgCr$_{2}$(SiO$_{4}$)$_{3}$,0.030999999999999694,eV,,,,,,,
MgV$_{2}$(SiO$_{4}$)$_{3}$,1.5671999999999997,eV,,,,,,,
MnO$_{2}$,0.8253999999999999,eV,,,,,,,
CaCr$_{2}$(SiO$_{4}$)$_{3}$,0.05040000000000022,eV,,,,,,,
Ca$_{2}$Nb$_{2}$CoO$_{9}$,0.9804999999999999,eV,,,,,,,
Mg$_{2}$Fe$_{2}$(SiO$_{4}$)$_{3}$,0.026900000000000368,eV,,,,,,,
CaV$_{2}$Ni$_{2}$(P$_{2}$O$_{9}$)$_{2}$,0.016100000000000225,eV,,,,,,,
CaV$_{4}$(CoO$_{7}$)$_{2}$,1.1289,eV,,,,,,,
Ba$_{3}$Y$_{4}$(CoO$_{5}$)$_{3}$,0.07489999999999997,eV,,,,,,,
VZnP$_{2}$O$_{7}$,2.0879999999999996,eV,,,,,,,
Y$_{5}$Mn$_{3}$(NiO$_{6}$)$_{3}$,0.009100000000000108,eV,,,,,,,
Ca$_{8}$Cr(PO$_{4}$)$_{7}$,2.8016,eV,,,,,,,
Y$_{2}$(NiO$_{3}$)$_{3}$,0.006099999999999994,eV,,,,,,,
V$_{2}$P$_{2}$O$_{9}$,1.1038999999999999,eV,,,,,,,
Y$_{2}$(Mo$_{2}$O$_{7}$)$_{3}$,0.004200000000000426,eV,,,,,,,
VNiP$_{2}$O$_{9}$,1.5293999999999999,eV,,,,,,,
Y$_{5}$Be$_{6}$Fe$_{3}$(SiO$_{5}$)$_{6}$,1.8256000000000001,eV,,,,,,,
Y$_{4}$(Mo$_{2}$O$_{7}$)$_{3}$,0.008000000000000007,eV,,,,,,,
Y$_{2}$Ti$_{3}$O$_{9}$,2.4471,eV,,,,,,,
CaSb$_{2}$S$_{5}$,0,eV,,,,,,,
MgV$_{2}$(BiO$_{5}$)$_{2}$,0.04820000000000002,eV,,,,,,,
MgMnP$_{2}$O$_{7}$,4.088900000000001,eV,,,,,,,
MgNiP$_{2}$O$_{7}$,4.0622,eV,,,,,,,
Mn$_{4}$ZnS$_{8}$,0.022700000000000387,eV,,,,,,,
Zn(CrS$_{2}$)$_{4}$,0.06770000000000032,eV,,,,,,,
MgFeP$_{2}$O$_{7}$,4.1211,eV,,,,,,,
MgTi$_{4}$O$_{8}$,0,eV,,,,,,,
CaTi$_{2}$O$_{5}$,3.1348000000000003,eV,,,,,,,
Mn$_{2}$ZnO$_{4}$,0.8245,eV,,,,,,,
MnZnP$_{2}$O$_{7}$,3.3581999999999996,eV,,,,,,,
Mg(NiO$_{2}$)$_{2}$,0.30920000000000014,eV,,,,,,,
Ca(FeO$_{2}$)$_{2}$,0.9579999999999997,eV,,,,,,,
ZnNiP$_{2}$O$_{7}$,3.9021,eV,,,,,,,
MgTi$_{2}$O$_{4}$,0,eV,,,,,,,
ZnFeP$_{2}$O$_{7}$,3.3588999999999998,eV,,,,,,,
TiO$_{2}$,2.5323,eV,,,,,,,
Ti$_{2}$ZnO$_{4}$,0,eV,,,,,,,
CaTi$_{2}$O$_{4}$,0,eV,,,,,,,
MgTi$_{2}$O$_{4}$,0,eV,,,,,,,
Ti$_{4}$ZnO$_{8}$,0,eV,,,,,,,
AlBi$_{3}$Se$_{2}$ClO$_{8}$,0,eV,,,,,,,
TiO$_{2}$,2.6518,eV,,,,,,,
CaTi$_{2}$O$_{4}$,0.008000000000000007,eV,,,,,,,
CaTi$_{2}$O$_{4}$,0,eV,,,,,,,
YBi$_{3}$Se$_{2}$ClO$_{8}$,0,eV,,,,,,,
Ti$_{2}$ZnO$_{4}$,0,eV,,,,,,,
Ti$_{2}$ZnO$_{4}$,0.036399999999999544,eV,,,,,,,
Mg(NiO$_{2}$)$_{2}$,0,eV,,,,,,,
CaMn$_{2}$O$_{5}$,0.07290000000000019,eV,,,,,,,
Mn$_{2}$ZnO$_{5}$,0.3167,eV,,,,,,,
MgCr$_{2}$O$_{4}$,2.6976,eV,,,,,,,
YSn$_{3}$Se$_{2}$ClO$_{8}$,0.059800000000000075,eV,,,,,,,
Zn(CoO$_{2}$)$_{2}$,1.6357,eV,,,,,,,
CaV$_{2}$O$_{4}$,1.5898999999999992,eV,,,,,,,
Mg(FeO$_{2}$)$_{2}$,1.6186000000000003,eV,,,,,,,
AlSb$_{3}$Se$_{2}$ClO$_{8}$,0.17940000000000023,eV,,,,,,,
Zn(NiO$_{2}$)$_{2}$,0.09439999999999982,eV,,,,,,,
MgMn$_{2}$O$_{4}$,0.008600000000000385,eV,,,,,,,
Mn$_{2}$ZnO$_{4}$,0.06689999999999996,eV,,,,,,,
Mg(CoO$_{2}$)$_{4}$,0.2708999999999997,eV,,,,,,,
ZnNi$_{2}$O$_{5}$,0.023500000000000076,eV,,,,,,,
Sr$_{2}$YVCu$_{2}$O$_{7}$,0.021399999999999864,eV,,,,,,,
Mg(NiO$_{2}$)$_{4}$,0.011800000000000033,eV,,,,,,,
ZnCr$_{2}$O$_{4}$,1.5494999999999997,eV,,,,,,,
Ca(CoO$_{2}$)$_{2}$,1.0876999999999994,eV,,,,,,,
Zn(FeO$_{2}$)$_{2}$,1.7509000000000001,eV,,,,,,,
ZnCrO$_{2}$,0.12240000000000029,eV,,,,,,,
CaMn$_{2}$O$_{4}$,0.5449000000000002,eV,,,,,,,
VZnO$_{2}$,0.5912999999999999,eV,,,,,,,
MgCrP$_{2}$O$_{7}$,2.7228000000000003,eV,,,,,,,
MgMn$_{4}$O$_{8}$,0,eV,,,,,,,
MgCr$_{4}$O$_{8}$,0,eV,,,,,,,
Ca(FeO$_{2}$)$_{2}$,1.6498,eV,,,,,,,
Ca(FeO$_{2}$)$_{2}$,1.6033,eV,,,,,,,
V$_{4}$ZnO$_{8}$,0.6769999999999996,eV,,,,,,,
CaNiO$_{2}$,2.2934,eV,,,,,,,
MgMn$_{2}$O$_{4}$,0.6440000000000001,eV,,,,,,,
MgCr$_{2}$O$_{4}$,2.1137999999999995,eV,,,,,,,
Mn$_{2}$ZnO$_{4}$,0,eV,,,,,,,
Ba$_{2}$Ca$_{3}$Tl$_{2}$(NiO$_{3}$)$_{4}$,0.008300000000000196,eV,,,,,,,
CaFeO$_{2}$,2.6202,eV,,,,,,,
MgCr$_{2}$O$_{4}$,2.6963999999999997,eV,,,,,,,
Mg(FeO$_{2}$)$_{2}$,1.8052000000000001,eV,,,,,,,
ZnCr$_{2}$O$_{4}$,2.4059000000000004,eV,,,,,,,
CaMn$_{4}$O$_{8}$,0,eV,,,,,,,
YSb$_{3}$Se$_{2}$ClO$_{8}$,0.10060000000000002,eV,,,,,,,
MgVO$_{2}$,0,eV,,,,,,,
CaCr$_{4}$O$_{8}$,0.2596000000000003,eV,,,,,,,
VO$_{2}$,0.014600000000000168,eV,,,,,,,
Zn(NiO$_{2}$)$_{2}$,0,eV,,,,,,,
Ca(NiO$_{2}$)$_{4}$,0,eV,,,,,,,
V$_{2}$ZnO$_{4}$,1.6408,eV,,,,,,,
MgCoO$_{2}$,1.5104999999999995,eV,,,,,,,
MnZnO$_{2}$,0,eV,,,,,,,
CaV$_{2}$O$_{4}$,1.5470000000000002,eV,,,,,,,
MgV$_{2}$O$_{4}$,1.4286999999999996,eV,,,,,,,
Ca(NiO$_{2}$)$_{2}$,0.022400000000000198,eV,,,,,,,
MgCrO$_{2}$,0.3106,eV,,,,,,,
Mg(NiO$_{2}$)$_{2}$,0.03479999999999972,eV,,,,,,,
Mg(NiO$_{2}$)$_{2}$,0,eV,,,,,,,
Mg(FeO$_{2}$)$_{4}$,0,eV,,,,,,,
CaMn$_{2}$O$_{4}$,0.035800000000000054,eV,,,,,,,
ZnCr$_{2}$O$_{4}$,2.3462,eV,,,,,,,
Ca(NiO$_{2}$)$_{2}$,0,eV,,,,,,,
CaV$_{2}$O$_{4}$,1.5384000000000002,eV,,,,,,,
ZnCrP$_{2}$O$_{7}$,2.6778000000000004,eV,,,,,,,
Ca(FeO$_{2}$)$_{4}$,0,eV,,,,,,,
Ca(NiO$_{2}$)$_{2}$,0.040899999999999714,eV,,,,,,,
Zn(CoO$_{2}$)$_{2}$,1.8129000000000004,eV,,,,,,,
ZnNiO$_{2}$,0.9556,eV,,,,,,,
MgFeO$_{2}$,1.4854000000000003,eV,,,,,,,
Zn(NiO$_{2}$)$_{2}$,0.06200000000000028,eV,,,,,,,
Zn(FeO$_{2}$)$_{2}$,0.13090000000000002,eV,,,,,,,
Zn(FeO$_{2}$)$_{2}$,1.6948000000000003,eV,,,,,,,
MgMnO$_{2}$,1.8037,eV,,,,,,,
MgNiO$_{2}$,2.8627999999999996,eV,,,,,,,
ZnFeO$_{2}$,0.8465000000000003,eV,,,,,,,
Sr$_{2}$YTlCo$_{2}$O$_{7}$,0.13179999999999925,eV,,,,,,,
Sr$_{2}$MnCuSO$_{3}$,0.047900000000000276,eV,,,,,,,
ZnCr$_{2}$S$_{5}$,0,eV,,,,,,,
Al$_{2}$(BiO$_{3}$)$_{3}$,0.001700000000000479,eV,,,,,,,
VS$_{2}$,0,eV,,,,,,,
Ca(CoS$_{2}$)$_{2}$,0.0398000000000005,eV,,,,,,,
Ti$_{4}$ZnS$_{8}$,0.010500000000000398,eV,,,,,,,
MgTi$_{2}$S$_{5}$,0.019400000000000084,eV,,,,,,,
CaCu$_{2}$(GeO$_{3}$)$_{4}$,0.3326,eV,,,,,,,
Rb$_{6}$Al$_{4}$(Sb$_{2}$O$_{7}$)$_{3}$,0.015800000000000036,eV,,,,,,,
MoO$_{3}$,0.8512,eV,,,,,,,
CaMn$_{2}$F$_{10}$,1.0233000000000003,eV,,,,,,,
CaNiWO$_{6}$,0.46350000000000025,eV,,,,,,,
CaSi$_{4}$(NiO$_{6}$)$_{2}$,0.0045999999999999375,eV,,,,,,,
CaMn$_{2}$(SiO$_{3}$)$_{4}$,0.4466999999999999,eV,,,,,,,
CaCo$_{2}$(P$_{2}$O$_{7}$)$_{2}$,0.49950000000000006,eV,,,,,,,
Ca$_{3}$Fe$_{2}$(MoO$_{6}$)$_{2}$,1.7666999999999997,eV,,,,,,,
Ca$_{3}$Fe$_{2}$(ReO$_{6}$)$_{2}$,0,eV,,,,,,,
MgV$_{2}$O$_{6}$,2.3411999999999997,eV,,,,,,,
Sr$_{6}$YTl$_{3}$(Cu$_{2}$O$_{7}$)$_{3}$,0.5265000000000004,eV,,,,,,,
Y$_{2}$(CuO$_{2}$)$_{3}$,0,eV,,,,,,,
Mg(Mo$_{3}$O$_{8}$)$_{2}$,0.9097,eV,,,,,,,
CaSi$_{8}$(CuO$_{10}$)$_{2}$,1.2573,eV,,,,,,,
ScMo$_{3}$O$_{8}$,0.10660000000000025,eV,,,,,,,
ZnCr$_{2}$F$_{12}$,1.2360999999999998,eV,,,,,,,
AlFe$_{3}$(SiO$_{4}$)$_{3}$,2.0444999999999998,eV,,,,,,,
Ba$_{2}$Tl$_{2}$Zn$_{3}$(CoO$_{3}$)$_{4}$,0,eV,,,,,,,
EuCuO$_{3}$,0.6114999999999999,eV,,,,,,,
Mg$_{3}$Bi$_{2}$(PO$_{6}$)$_{2}$,0,eV,,,,,,,
CaMnFeO$_{5}$,0.2822,eV,,,,,,,
CaCr$_{2}$(P$_{2}$O$_{7}$)$_{2}$,1.5773000000000001,eV,,,,,,,
Bi$_{6}$P$_{2}$O$_{15}$,0,eV,,,,,,,
ZnCo$_{2}$(P$_{2}$O$_{7}$)$_{2}$,0.5617999999999999,eV,,,,,,,
CaV$_{2}$(BiO$_{5}$)$_{2}$,2.5886,eV,,,,,,,
MnO$_{2}$,1.9256,eV,,,,,,,
Mg(CoO$_{2}$)$_{2}$,2.1628000000000003,eV,,,,,,,
Ca$_{3}$(CoO$_{3}$)$_{2}$,1.2672999999999999,eV,,,,,,,
CoO$_{2}$,1.2428,eV,,,,,,,
Al$_{4}$(BiSe$_{4}$)$_{3}$,0.07270000000000021,eV,,,,,,,
MgV$_{4}$O$_{8}$,0.04369999999999985,eV,,,,,,,
VP$_{2}$O$_{7}$,1.308,eV,,,,,,,
ZnCo$_{2}$S$_{5}$,0.04750000000000032,eV,,,,,,,
MoP$_{2}$O$_{7}$,1.8165000000000002,eV,,,,,,,
SbO$_{2}$,0,eV,,,,,,,
Ti(SiO$_{3}$)$_{2}$,3.3386,eV,,,,,,,
CaVP$_{2}$O$_{7}$,2.9955,eV,,,,,,,
Ca$_{3}$Co$_{2}$(TeO$_{6}$)$_{2}$,1.0231,eV,,,,,,,
CrP$_{2}$O$_{7}$,0,eV,,,,,,,
Mn$_{3}$Al$_{2}$F$_{15}$,1.4385,eV,,,,,,,
Al$_{4}$(NiO$_{4}$)$_{3}$,0,eV,,,,,,,
FeO$_{2}$,7.999999999999119E-4,eV,,,,,,,
Mg(NiO$_{2}$)$_{2}$,0.05860000000000065,eV,,,,,,,
Ca$_{3}$Mn$_{2}$(Si$_{2}$O$_{7}$)$_{2}$,1.8624999999999998,eV,,,,,,,
Ba$_{2}$Mg$_{3}$Tl$_{2}$(WO$_{3}$)$_{4}$,0,eV,,,,,,,
NiO$_{2}$,0.8614999999999999,eV,,,,,,,
